Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
10, 4, 1, 9.30, 11977407, 73890663, 2475091, 73.61948, 49, MSG_HR_READY, 
10, 5, 1, 9.30, 11981495, 73891197, 2475591, 73.61948, 49, MSG_HR_READY, 
10, 6, 1, 9.30, 11982549, 73889055, 2476233, 73.61948, 49, MSG_HR_READY, 
10, 7, 1, 9.30, 11983539, 73888199, 2477161, 73.61948, 49, MSG_HR_READY, 
10, 8, 1, 9.30, 11986317, 73906939, 2478571, 73.61948, 49, MSG_HR_READY, 
10, 9, 1, 9.30, 11990949, 73902977, 2478445, 73.61948, 49, MSG_HR_READY, 
10, 10, 1, 9.30, 11991587, 73916897, 2480141, 73.61948, 49, MSG_HR_READY, 
10, 11, 1, 9.30, 11993503, 73911115, 2480623, 73.61948, 49, MSG_HR_READY, 
10, 12, 1, 9.30, 11991459, 73920217, 2482051, 73.61948, 49, MSG_HR_READY, 
10, 13, 1, 9.30, 11996059, 73923537, 2483247, 73.61948, 49, MSG_HR_READY, 
10, 14, 1, 9.30, 11998453, 73925357, 2484443, 73.61948, 49, MSG_HR_READY, 
10, 15, 1, 9.30, 11999699, 73923751, 2485531, 73.61948, 49, MSG_HR_READY, 
10, 16, 1, 9.30, 12002733, 73934995, 2487263, 73.61948, 49, MSG_HR_READY, 
10, 17, 1, 9.30, 12004713, 73932747, 2490475, 73.61948, 49, MSG_HR_READY, 
10, 18, 1, 9.30, 12006087, 73939599, 2491599, 73.61948, 49, MSG_HR_READY, 
10, 19, 1, 9.30, 12011835, 73948273, 2492921, 73.61948, 49, MSG_HR_READY, 
11, 0, 1, 9.20, 12015349, 73956199, 2494723, 73.61948, 49, MSG_SUCCESS, 
11, 1, 1, 9.20, 12027133, 73981041, 2496437, 73.61948, 49, MSG_SUCCESS, 
11, 2, 1, 9.20, 12024771, 73967227, 2498079, 73.61948, 49, MSG_SUCCESS, 
11, 3, 1, 9.20, 12027101, 73969155, 2500809, 73.61948, 49, MSG_SUCCESS, 
11, 4, 1, 9.20, 12030007, 73967763, 2502861, 73.61948, 49, MSG_SUCCESS, 
11, 5, 1, 9.20, 12032339, 73977507, 2506127, 73.61948, 49, MSG_SUCCESS, 
11, 6, 1, 9.20, 12035437, 73982755, 2507769, 73.61948, 49, MSG_SUCCESS, 
11, 7, 1, 9.20, 12035085, 73978151, 2509697, 73.61948, 49, MSG_SUCCESS, 
11, 8, 1, 9.20, 12036907, 73987039, 2511821, 73.61948, 49, MSG_SUCCESS, 
11, 9, 1, 9.20, 12038279, 73988751, 2513873, 73.61948, 49, MSG_SUCCESS, 
11, 10, 1, 9.20, 12041665, 74002245, 2516121, 73.61948, 49, MSG_SUCCESS, 
11, 11, 1, 9.20, 12042239, 73999461, 2519049, 73.61948, 49, MSG_SUCCESS, 
11, 12, 1, 9.20, 12044859, 74000317, 2520851, 73.61948, 49, MSG_SUCCESS, 
11, 13, 1, 9.20, 12046201, 74001709, 2522833, 73.61948, 49, MSG_SUCCESS, 
11, 14, 1, 9.20, 12046297, 74009313, 2526187, 73.61948, 49, MSG_SUCCESS, 
11, 15, 1, 9.20, 12050895, 74023341, 2528009, 73.61948, 49, MSG_SUCCESS, 
11, 16, 1, 9.20, 12049937, 74018629, 2528775, 73.61948, 49, MSG_SUCCESS, 
11, 17, 1, 9.20, 12054377, 74024089, 2531649, 73.61948, 49, MSG_SUCCESS, 
11, 18, 1, 9.20, 12053801, 74044651, 2533417, 73.61948, 49, MSG_SUCCESS, 
11, 19, 1, 9.20, 12057571, 74041009, 2534915, 73.61948, 49, MSG_SUCCESS, 
12, 0, 1, 9.30, 12060699, 74049469, 2537467, 74.7951, 49, MSG_HR_READY, 
12, 1, 1, 9.30, 12070089, 74062961, 2539127, 74.7951, 49, MSG_HR_READY, 
12, 2, 1, 9.30, 12061785, 74048399, 2541305, 74.7951, 49, MSG_HR_READY, 
12, 3, 1, 9.30, 12062935, 74066281, 2542715, 74.7951, 49, MSG_HR_READY, 
12, 4, 1, 9.30, 12064053, 74053539, 2545017, 74.7951, 49, MSG_HR_READY, 
12, 5, 1, 9.30, 12064213, 74052147, 2545177, 74.7951, 49, MSG_HR_READY, 
12, 6, 1, 9.30, 12062935, 74038547, 2546177, 74.7951, 49, MSG_HR_READY, 
